Date;Opening;Highest price;Lowest price;Closing price;Volume;Turnover
2020-07-31;285.1;297.2;279.5;283.0;1.1011765E7;3171263656.5	
2020-08-31;283.0;286.5;272.3;276.9;8511905.0;2377454404.9999995	
2020-09-30;277.9;285.4;269.3;277.6;9992678.0;2776869341.6500006	
2020-10-30;280.0;295.0;275.1;277.7;9098988.0;2579076982.8	
2020-11-30;279.3;321.4;276.8;306.8;1.211181E7;3720888521.2999997	
2020-12-31;309.2;314.1;294.2;310.8;8699909.0;2638284083.0999994	
2021-01-29;314.8;316.1;290.1;290.1;7851648.0;2355810415.3999996	
2021-02-26;293.3;320.0;292.4;302.8;8235536.0;2538505714.6	
2021-03-31;306.1;329.1;304.0;326.8;9256719.0;2942362158.9000006	
2021-04-30;328.6;350.65;322.45;341.65;7436006.0;2502026492.3999996	
2021-05-31;341.85;372.4;340.7;368.3;7250804.0;2570509451.35	
2021-06-30;369.2;395.95;367.0;375.8;8930477.0;3416698368.9999995	
2021-07-30;377.05;388.75;360.45;385.9;7617196.0;2864941866.25	
2021-08-03;387.55;396.15;386.9;393.85;566585.0;222359530.7	
